ticker,sector,market_cap,book_value,price_to_book,roe,trailing_pe,forward_pe,dividend_yield,beta,avg_volume,current_price,volatility_60d,momentum_60d,avg_volume_60d
CLMB,Information Technology,547108672.0,24.082,4.9244246,0.21669,25.503225,20.696335,0.57,1.154,70632,118.59,0.3979457386559007,0.0692534301065173,70833.87096774194
PLTK,Communication,1361322112.0,-0.199,-18.190954,,15.083333,3.9780216,11.02,0.838,1250721,3.62,0.4045209657536583,0.011221729474221176,1269951.6129032257
GDYN,Information Technology,701339072.0,6.348,1.3027726,0.02961,48.64706,17.74526,,0.815,987488,8.27,0.42409304139293275,-0.11456099329160585,1029067.7419354839
NGVC,Consumer Staples,629264128.0,9.253,2.952556,0.24024001,13.134616,12.035242,2.29,1.249,281893,27.32,0.3683814939111952,-0.1440175040916526,284314.51612903224
REPX,Energy,618284928.0,25.739,1.0897859,0.16084999,6.908867,6.178414,5.7,1.268,168300,28.05,0.3696246293601632,0.09388756318873881,167877.4193548387
PRTH,Financials,483860960.0,-1.348,-4.3842726,,11.150944,4.8944097,,1.371,556513,5.91,0.7957894375803785,-0.1508620955430935,551620.9677419355
PACK,Materials,425254400.0,6.375,0.7905882,-0.07186,,-42.0,,2.764,367863,5.04,0.46655797764591217,-0.049056645193400694,376900.0
EVH,Health Care,372267360.0,7.547,0.42533457,-0.123959996,,10.637945,,0.254,3862613,3.21,0.6989063513802153,-0.5187406294707951,3851772.580645161
DSGN,Health Care,581599936.0,3.506,2.9121506,-0.29832,,-7.8780866,,1.64,431724,10.21,0.7354516078767014,0.5238806460901702,425811.29032258067
CLNE,Energy,482462208.0,2.669,0.8242788,-0.31724,,-55.37377,,2.136,1198822,2.2,0.48834421343003476,-0.23076918588138473,1196832.2580645161
CLDT,Real Estate,360530432.0,15.377,0.4623789,0.01105,711.0,-59.250004,5.08,1.137,267485,7.11,0.2696572505072001,0.12555512511677702,267517.7419354839
LILA,Communication,1567858432.0,3.141,2.457816,-0.47015,,17.545454,,1.03,374480,7.72,0.38761869400009147,-0.010256461357301072,373040.32258064515
REFI,Financials,261395360.0,14.705,0.8432506,0.11818,7.2941175,6.4583335,15.22,0.269,126109,12.4,0.23033079186975844,0.001164837970637933,125496.7741935484
GTN,Communication,504875392.0,22.295,0.20228752,0.03364,10.022223,1.5392492,7.46,0.909,1238773,4.51,0.47716687570222455,0.0019089769373001886,1230990.322580645
IBTA,Communication,549200768.0,12.163,1.6985941,0.22825001,6.909699,16.942759,,,400922,20.66,0.6854761892959407,-0.35957839670370406,400150.0
INBK,Financials,189705824.0,41.414,0.5261506,-0.094560005,,4.4378824,1.1,0.817,67049,21.79,0.4630953259254144,0.23194431174621255,67103.2258064516
NVEC,Information Technology,326460384.0,12.052,5.5999002,0.23358999,24.721611,23.848057,5.55,1.196,55990,67.49,0.4472989202423945,-0.00822931907236435,55575.8064516129
FC,Industrials,244235328.0,4.5,4.5266666,-0.02082,,15.431818,,0.664,144585,20.37,0.44364908697322386,0.19964672487562352,143422.5806451613
REAX,Real Estate,749771968.0,0.254,13.937007,-0.25259,,-88.5,,0.995,1520832,3.54,0.5294708361877406,-0.04838711434753651,1537179.0322580645
BETR,Financials,475765088.0,2.726,11.1188545,-8.75532,,-14.83363,,2.014,513026,30.31,0.9525763081000834,-0.5859855232210907,508096.77419354836
RMNI,Information Technology,319187104.0,-0.297,-11.616162,,7.3404255,8.214286,,1.195,300847,3.45,0.32038444810605154,-0.13316582131905375,315303.22580645164
VMD,Health Care,297486784.0,3.514,2.1826978,0.10663,22.558823,19.175,,1.254,146201,7.67,0.2897442133065604,0.1873065063470274,146435.48387096773
NCMI,Communication,338730496.0,3.74,0.9652406,-0.041300002,,51.571426,3.32,1.369,380147,3.61,0.35028113577690195,-0.17697531366820773,404203.22580645164
IHRT,Communication,486513632.0,-11.554,-0.28042236,,,-8.307693,,1.685,1533101,3.24,1.0184329051639915,0.09090908361130778,1516559.677419355
HY,Industrials,593195392.0,30.247,1.1058948,0.0077899997,238.92857,-73.51648,4.38,1.441,133008,33.45,0.5556978914801601,-0.05761572414987881,131709.67741935485
ATEX,Communication,492200640.0,12.848,2.044287,0.50412,5.1198826,-35.49324,,0.856,255762,26.265,0.5724054691824448,0.2989614382578869,254022.5806451613
RC,Financials,351301440.0,10.278,0.20723878,-0.13302,,-87.58224,1.81,1.511,4036460,2.13,0.5283590690322397,-0.269671939374191,4027730.64516129
CENT,Consumer Staples,2105381632.0,25.183,1.3433666,0.10435,13.266667,11.400707,,0.619,77263,33.83,0.29126787401843707,0.10303233605803719,77059.67741935483
SVC,Real Estate,334491552.0,3.855,0.5162127,-0.3525,,-1.99,2.01,1.451,1452298,1.99,0.5091394129431392,-0.06551268656348785,1452812.9032258065
WEAV,Information Technology,507167424.0,1.008,6.4484124,-0.44645,,54.238983,,1.7,1477747,6.5,0.4448078890520591,-0.12280699948056284,1499545.1612903227
CZFS,Financials,304047808.0,70.324,0.89940846,0.11468001,8.908451,8.006329,3.16,0.429,10331,63.25,0.36078022195807696,0.16372497653158802,10258.064516129032
CERS,Health Care,447563872.0,0.32,7.28125,-0.27497,,-93.2,,1.524,1502573,2.33,0.834533021368793,0.585033930855694,1499154.8387096773
TRDA,Health Care,437228000.0,9.501,1.2040837,-0.27111998,,-2.7888832,,-0.123,245262,11.44,0.5511681005251943,0.6460431502649089,243650.0
PUBM,Communication,336971456.0,5.308,1.3677468,-0.02852,,48.399998,,1.487,737357,7.26,1.0142677542136898,-0.13157888432648746,732495.1612903225
BYRN,Industrials,311566816.0,2.782,4.928109,0.29709998,21.092308,27.979591,,2.301,415721,13.71,0.46332471527771557,-0.3229629610791619,412685.48387096776
QTRX,Health Care,296146464.0,6.738,0.94093204,-0.2928,,-7.2045455,,1.003,733763,6.34,0.8021751847375074,0.18726591225196443,734456.4516129033
EB,Communication,443919072.0,2.187,2.0210333,-0.058140002,,-126.28571,,1.393,1837537,4.42,1.6684751727626341,0.9134199938444656,1815109.677419355
SIGA,Health Care,479795712.0,2.841,2.3583243,0.39938,6.633663,4.437086,,0.993,381285,6.7,0.5042952602684082,-0.19082125297836072,380982.2580645161
OOMA,Information Technology,323838528.0,3.261,3.6031892,0.02589,146.875,9.251968,,1.361,201014,11.75,0.5288561057321328,0.046304584057010434,199109.67741935485
