,Country,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,size,beta,momentum,residvol,nlsize,btop,liquidity,earnyild,growth,leverage
2025-12-15,-0.020930458661887724,-0.0005574901860528381,0.003882952356970977,0.005476851838136562,0.016381317510455923,-0.0016853533945514212,0.003228081045299484,-0.004939596859470095,-0.0003464265153810515,0.009410263486706281,-0.007715157169840228,0.013092138540047763,0.000713182470779196,-0.007411822899886411,-0.0015088725279540937,0.0016546585171999155,0.0018755558131323033,-0.0025630255109927768,0.002407010701638315,0.0038918600359968357,-0.0001217276543514387,0.0006707776318463278
2025-12-16,-0.023109128116252563,-0.000255363702375977,-0.002038575839294588,0.011355857091462083,-0.0043652646534129026,0.009940946129485918,0.0004850429063706955,-0.0001626335645353058,-0.0019700487347873888,-0.007368752334675739,4.722148701618625e-05,0.01160815437978564,7.571716953674313e-05,-0.0093165627612354,0.0026494916868422193,-0.0027277043346835444,0.0003909025023451201,-0.0003721627067712959,-0.00010788410012286395,0.002022879649956024,-0.0011489776481451866,-0.0011123384353987481
2025-12-17,0.013232609751345787,-0.009597303212541906,0.005108875818392652,-0.010563978496440418,-0.00052805708857181,-0.005598578396291413,-0.013183899345163081,-0.008384533042384354,0.00907201700085651,-0.0020794757102505844,-0.005311085814794546,-0.0004102692294439582,0.001433043159753023,0.0012671073566621525,-0.002418788471893292,-0.002277809786327258,-0.0016779046513616801,-0.002048608066765428,0.0005760068325867323,0.005029742677011768,-0.0029551406234322444,-0.0017926818047310329
2025-12-18,-0.018234616992309553,0.004272797130094091,-0.0027916232147477595,-0.007805200199681333,-0.021077686697737668,0.008936036570094046,-0.00551276416817008,-0.01116295119046317,0.00843042438406051,-0.007862166160268757,-0.009653515389137248,-0.029884725556642212,-0.008169233430845291,-0.008936220173116306,0.006604571284416587,0.001387279403825852,-0.0035507862980082706,0.0003603764406831814,-0.0005114533387103101,0.0019170101599003421,-0.0001957995312759323,-0.002940941491874922
2025-12-19,0.010124304083548507,0.009702793908707232,0.003575572905363215,0.003083481483477078,0.0063329195363600425,0.012031026610811617,0.005738566289733538,0.007481246564223606,-0.010794537271557613,0.0009678817671502053,0.009180796518413189,0.007053729934222193,-0.0005790585309772587,0.004465686505675678,0.0004181930267054147,-7.035439293073063e-05,-0.00025383527312929305,0.0001848472579659187,-0.0021252432089345075,-0.0016379804472082496,0.0028094922667026554,-0.0013991030080238375
2025-12-22,0.019427386054760302,-0.004327174886321742,-0.0036024300680277672,-0.0022478627715994464,-0.001968482181728593,0.003674219694764307,-0.007937299939500403,-0.008251908654451924,0.007193505689109839,-0.002921170060677817,-0.0026405119727256794,-0.010531148166743819,-0.0016585273697105453,0.008496029854572968,-0.0013576209143357242,-0.0026863232246477175,-0.0010556197810360146,-0.0025227789193444554,0.0023969429634213787,-0.0008838477650763891,0.00035188385671650773,-0.00076854363976539
2025-12-23,0.002967573297911458,0.0073643317835132985,-0.007266191531864351,-0.0015508401629705517,0.00019706396919138004,0.003817958829451758,-0.004063790137764181,0.003753804397713558,-0.00126258377153841,-0.0007960763313615647,0.0059010737346898,-0.005989347312280233,0.0014730881534416858,-0.001714114370377872,0.003547985613871696,0.000233600575433936,-0.001483978705357545,0.004510396353029829,7.257477042754782e-05,-0.0009202523744680587,-0.001364514538264841,-0.0011084081921899221
2025-12-24,-0.0012331912063606916,0.003032975883272182,0.00026414823577916244,0.004649841613223274,-0.0054107836845758255,0.0013819340742425108,-0.0011299642903478077,-0.004065577393092625,0.0015641652872394759,0.0006293866726462718,-0.0008641867442902929,-0.0024348205001896673,0.002190470569846806,-0.00020973854212812636,-0.0013940016014848762,-0.0025416341653845737,0.00048678040478810963,0.0034984670621640334,-0.0021065198339100108,-0.004130845998856823,0.0003834315259870442,0.001834863017753237
2025-12-26,0.0021025336321391494,-0.01474792704773882,-0.004378256986296172,-0.008864912450465844,-0.008312610246964456,-0.008012792980448531,-0.0047181990504831395,-0.015070287071508677,0.014628844700920986,-0.0013170532728921517,0.002451741849672516,0.0015114451287356785,-0.0074182407287520635,-0.0015922631333067357,0.003240871744084746,-0.004214414975285319,-0.007407507155226152,-0.004308645135987818,0.00016979217115612778,0.006033446665572499,-0.0013334827313803343,-0.0022471179165618805
2025-12-29,0.02371524194491517,0.005901568338277504,-0.0002808785779338887,-0.0012042200453899685,-0.005734480293962274,0.002917096434696031,-0.0025363967084970117,0.0021472017967953637,-0.0009834848687214383,-0.006434457386287264,0.005422582376532302,-0.005699226253222856,-0.0063131058338567365,0.009038329428656535,-0.00100825031240015,0.0019917889111930134,-0.007411946785682108,-0.005436015994189735,0.0022321712983214806,0.002098994991836663,0.0027403577884422665,-0.0007194103491459125
2025-12-30,-0.0019108666816018511,-0.0010416404075083727,0.0006007455532965821,-0.007000438777335677,0.003719028821106484,-0.006724908199055784,-0.004851602498464698,-0.008709872834880474,0.00801665222575065,-0.008663460962492587,0.0011550771079778615,-0.004368195056994626,-0.001396385904107295,-0.0042684487126485125,0.0025628071120598703,-0.001119950854900225,-0.0012955106154019143,-0.0011514852026157608,-0.0009356823525250192,0.002535670732271088,0.0010407643475392578,-0.0005565193355896023
2026-01-02,0.02155005519859631,0.011799435944414894,-0.005181950818887939,0.012389865233051855,-0.00716388426711231,0.001414257708732991,0.01070092793023674,-0.013936545605522068,0.007215033524839869,-0.015457710351163141,0.018498724643560775,-0.013785533985750649,-0.007939816368398037,0.01046969882417275,-0.0022913253649118398,-0.005356900567010244,-0.0081007285789524,-0.0028469712804424347,0.005350821592070593,0.003036663888205891,0.0021807114104067903,-0.00410287590305722
2026-01-05,0.03435581982326149,-0.007258697554699263,0.0006077586155159181,0.003784516429764777,0.019791067521628937,-0.00578758521569397,0.012116750081609473,0.007177899513922111,-0.004310630106028227,-8.938266697864315e-06,0.008884501724500478,0.026751283489826392,0.0007511582578028724,0.01179853170171535,0.0020658022777498403,-0.004373667987503769,-0.0043183780782531465,-0.001165066741486977,-0.0007092916805514049,0.003586161099509207,-0.0030997799978761467,-0.0011429156639212572
2026-01-06,0.0170638445946395,0.008985154388995003,-0.010008945052066731,-0.006416620059557199,0.0036264768440921304,0.013274995406148422,-0.0004456693581880837,0.00494616908321083,-0.0034124708119114013,-0.00218838350354448,0.010718818081726896,0.0024785759373953413,0.0019440602784716373,0.007334548869249011,-0.0018214977467441893,0.0014240124932913762,-6.003051601949144e-05,0.0016542353536731901,-0.003117446709890076,-0.0016061780822181975,0.003065620362161757,0.0001704443336223683
2026-01-07,0.004258751874289974,-0.03221480996627422,0.01936319139441995,-0.010025101918485435,-0.01972169683496928,-0.02142879014572588,-0.006359187716736183,-0.005872787706903584,0.00851997999470157,-0.0035782394717559143,-0.001264490720064872,-0.0172496884963921,0.005128121980753015,-0.009252164344074191,0.0037421121641786365,-0.000883601549645996,-0.002849354818426366,0.0027366459671951063,0.004225288535320669,0.0010919293547391664,0.00047380472380187605,-0.00018693834736036518
2026-01-08,-0.001575090832175835,0.005429648063035553,-0.007460405853798124,0.002820910527972208,0.008775400707765887,-0.007887705556504428,0.0075304889231660975,0.010888539843176642,-0.0035590916474599063,0.0021122347370029337,0.00827219597620047,-0.0025749921773374606,0.0009811950633396463,-0.001412290260572038,0.004334060908264448,0.003402612062030485,-0.0021049373762616077,0.0012914855066150665,-0.0018566812120208113,-0.0011604290329022297,0.0029487704821180858,-0.001500899762037912
2026-01-09,0.005442255291964591,-0.006366253394820339,0.0174523478800822,0.0005442834513987279,2.856509426967641e-05,-0.001583688909637733,-0.005571585537325585,0.012363018722967061,-0.008875076853234494,0.006511277912334457,0.005567722027269567,-0.0015839650202619732,0.0037356612455991933,-0.0012535330209350638,-0.0018859752027378263,0.006516345475246612,0.001645955774360556,0.0010017927405911247,0.0022312281469445893,0.0004015670498301758,0.005305238979152284,0.00011187809572025652
2026-01-12,0.00940166796404614,0.002408234416353885,-0.00691383253399127,0.0025093180802189825,0.00962803464472034,-0.00588224380862226,-0.006071510103782255,0.015167297982717142,-0.006208774289499829,0.012896606916154796,-0.0011375150576573533,0.014193234494770822,0.0015713639996579576,0.005156540574272653,-0.0007669146687502956,0.0020879262408244996,0.002127143052307643,-0.0013992088981967842,0.0017147708692815484,0.0014175629589432274,-0.0032152810981704357,0.001537378419598495
2026-01-13,0.019375189969090566,0.00444022144904942,0.017806211119275422,-0.004000898762901417,-0.0033190397699227187,-0.012291180519464224,-0.014795593575154555,0.005959992536342967,-0.005046168685233261,0.010761155604348819,-0.0010288297556000554,0.033135821322617276,0.010821368393938938,0.002925111555936383,-0.005071490622371065,0.004036948697480878,0.0019027880274676027,0.003357019166907996,0.0014618120166490739,-0.0004691898486558621,-0.001408733307502066,0.003812103795006881
2026-01-14,0.0037959438557233815,0.0005320359880894346,0.010493571808836262,0.012776660597738854,-0.010645179957588766,-0.000345798003051798,-0.008940863953001473,0.002093996745103681,-0.0007214538855121694,-0.014261394689412734,-0.010434627691788177,-0.029566067145878942,-0.0020469051092701215,0.005702087310064325,0.004663641589078513,-0.002535825688802837,0.004483024496814384,-0.00286086770267371,-0.0035301953134305314,0.0017643043250006136,-0.004182432270688504,0.005415676382825984
2026-01-15,0.014006028205073373,-0.015566130505918489,0.00792252448597445,-0.006609710029791041,0.015202944465463287,-0.0030279026725139025,0.00024356688020279538,-0.00034075534659568085,9.766472566288646e-05,0.0017222998581772047,0.005208633825632457,-0.0024928845772950684,0.005840585837482633,0.0054568120586307835,-0.0040205175159316415,0.0023784623884348923,0.0031188345649838948,0.0037983300363591604,0.0033990356645352262,0.0009711927982218554,-0.0012886408823722473,2.470294468524131e-05
2026-01-16,0.0076821119870575955,-0.007811645810992453,0.0018322666369566141,0.0012887438770236527,-0.012432276604485884,0.01163926027739132,0.0019556327958881164,-0.00496573252129233,0.0018284658002036146,-0.017314719636170713,0.0021594477862808097,0.013774212766354267,-0.0028514239253929824,0.0041966317637248405,0.001171292529102553,-0.005540824466158216,-0.0015392546468056285,0.0037048871224931324,-0.0014807238505535893,0.0015451404996427989,-0.0017551572215488717,-0.0046490461639764
